LineNo,PhotoID,UserID,DateTaken,Latitude,Longitude,Accuracy
150,4684204212,22602880@N00,08-06-2010,-122.401334,37.782166,16.0
305,5377288276,27793548@N06,19-01-2011,-122.512321,37.780755,13.0
360,265139537,53687766@N00,08-10-2006,-122.412157,37.809343,14.0
571,7506210980,70221037@N00,04-07-2012,-122.458355,37.792083,16.0
725,4272303739,34415916@N07,12-01-2010,-122.449407,37.744099,13.0
1057,9177350502,95881098@N00,30-06-2013,-122.393628,37.795427,16.0
1247,234874425,10263754@N00,03-09-2006,-122.408981,37.795135,10.0
1845,4906821454,44124466908@N01,17-08-2010,-122.430107,37.766578,15.0
1881,4179492001,54284499@N00,12-12-2009,-122.410946,37.761317,13.0
2221,3946502546,44124466908@N01,22-09-2009,-122.402157,37.788988,16.0
2343,3121547816,20688578@N00,18-12-2008,-122.455941,37.786559,16.0
2897,4564610938,45013875@N00,29-04-2010,-122.436167,37.762,16.0
2980,8453794735,43498286@N00,07-02-2013,-122.4119,37.788102,16.0
3437,4618626157,53022145@N00,16-05-2010,-122.44194,37.773598,13.0
3565,317691209,33328641@N00,08-12-2006,-122.455469,37.801103000000005,16.0
4620,7066751805,28577026@N02,28-03-2012,-122.405517,37.802458,16.0
6654,7153846207,79551604@N00,07-05-2012,-122.404198,37.770577,16.0
6929,2947800504,7491409@N05,05-10-2008,-122.457776,37.771868,14.0
7095,1807559533,71453924@N00,30-10-2007,-122.407305,37.790277,16.0
7405,4042261720,44124466908@N01,24-10-2009,-122.394218,37.794338,15.0
7571,6247749454,33093170@N03,09-10-2011,-122.400278,37.806388,16.0
8083,4887123460,44124466908@N01,12-08-2010,-122.419195,37.779432,15.0
8235,3105910588,82173624@N00,14-12-2008,-122.42361499999998,37.826637,16.0
8398,307096702,46216844@N00,28-04-2004,-122.446714,37.806787,16.0
8419,8052380396,49503048699@N01,03-10-2012,-122.3946,37.7865,16.0
8905,3304414029,71401718@N00,19-02-2009,-122.4449,37.75299,13.0
9644,12282870655,81851947@N00,01-02-2014,-122.411961,37.75281,16.0
10275,8513481430,77001263@N00,07-09-2012,-122.403834,37.787333,16.0
11170,4529830482,55514420@N00,17-04-2010,-122.430557,37.785338,16.0
11245,5269843200,44124466908@N01,16-12-2010,-122.412124,37.779305,15.0
11252,4099536913,7972318@N06,07-11-2009,-122.370166,37.8095,16.0
11640,3354892919,62449696@N00,14-03-2009,-122.431167,37.7655,16.0
11657,5601959835,60323517@N02,08-04-2011,-122.413187,37.808669,16.0
11897,390804577,22257962@N00,14-02-2007,-122.394293,37.794512,16.0
12030,4859715714,94734319@N00,23-10-2009,-122.457667,37.729,16.0
12053,9704724111,77179348@N00,02-09-2013,-122.452012,37.803872,16.0
12169,7701641746,27703797@N06,03-08-2012,-122.405334,37.781166,16.0
12187,2438519654,24046097@N00,15-03-2008,-122.402468,37.788624,15.0
12246,4626087002,32781576@N04,16-05-2010,-122.405359,37.794797,16.0
13108,6789811194,51502166@N03,28-01-2012,-122.471466,37.805715,13.0
13510,8441360112,30275244@N04,02-10-2007,-122.406116,37.788183,16.0
13882,6730622121,44124466908@N01,20-01-2012,-122.418501,37.752166,16.0
14391,3276731635,10011817@N00,11-02-2009,-122.435043,37.761581,15.0
14578,10679996954,34581217@N00,28-10-2013,-122.427848,37.790097,16.0
14751,4142029755,59525567@N00,05-07-2009,-122.46035,37.772885,14.0
15043,1448604831,96698945@N00,27-09-2007,-122.433882,37.78898,15.0
15752,3760640616,38522426@N00,10-07-2009,-122.42766,37.829192,16.0
16007,8142948806,56946277@N00,31-10-2012,-122.407272,37.784656,16.0
16763,3965458856,30690694@N05,28-09-2009,-122.422971,37.826601,15.0
17862,6233658752,44551309@N08,08-10-2011,-122.42113700000002,37.825175,16.0
17890,6297538963,49503048699@N01,30-10-2011,-122.413902,37.77156,16.0
18637,7342115730,17876426@N05,08-07-2005,-122.479019,37.818056,12.0
19024,7284870834,28006064@N02,28-05-2012,-122.439875,37.806472,16.0
19696,8284379607,37377809@N00,18-12-2012,-122.411919,37.754924,16.0
20108,2321738499,42445822@N00,08-03-2008,-122.413612,37.771564,15.0
20348,2372479741,23004521@N02,29-03-2008,-122.44812,37.790251,7.0
20428,10014473624,44124466908@N01,29-09-2013,-122.402799,37.767042,16.0
20635,5935034041,72841285@N00,10-07-2011,-122.426061,37.8009,16.0
