LineNo,PhotoID,UserID,DateTaken,Latitude,Longitude,Accuracy
898,4256363529,97188200@N00,01-2010,77.620979,12.9558,8.0
2272,2498375715,58419684@N00,05-2008,77.177581,31.104685,9.0
3032,4132612622,86124626@N00,11-2009,76.689891,10.127737,12.0
3417,12922766464,29780116@N03,02-2014,77.205982,28.607156,16.0
4898,3736461532,21589235@N06,02-2008,85.378997,27.797,13.0
5365,5797806581,96863630@N00,06-2011,72.829148,18.9531,16.0
5930,2249551851,45306251@N00,02-2008,90.359287,22.817801,12.0
6376,5097182980,10267552@N00,10-2010,85.320168,27.670759,16.0
7166,12912116753,69754706@N02,11-2013,75.850713,26.986161,16.0
7217,181679983,89719900@N00,09-2005,86.589431,28.202767,10.0
8180,4610575156,16069488@N00,02-2010,77.489097,27.215299,16.0
8339,518723723,40040700428@N01,05-2007,69.167432,34.52261,12.0
8394,6307380477,61545321@N06,11-2011,89.736328,24.487148,6.0
9054,2094040610,21255424@N07,11-2007,78.008422,27.177843,11.0
11435,4553966075,46274484@N07,04-2010,77.074584,28.666491,7.0
11615,7571328980,61784959@N00,07-2010,78.021426,27.181432,14.0
12152,7179754898,74821492@N00,05-2012,80.24958,13.060422,16.0
12290,9167231400,37313707@N00,06-2013,84.887488,22.261891,16.0
12950,1030034142,8765969@N02,10-2006,73.822631,15.4325,6.0
13481,478340424,17754816@N00,04-2007,88.200988,27.309553,10.0
13840,8472289771,22991176@N02,02-2013,72.8833,26.470573,6.0
15089,3074118057,41178808@N00,11-2008,75.632286,35.304759,11.0
15348,196044558,81818938@N00,03-2005,78.040094,27.175132,10.0
15724,2528671360,62451331@N00,04-2008,78.034279,27.196033,14.0
17010,7536385196,8796403@N06,04-2004,73.910103,15.5019,16.0
17543,2995917864,31302833@N04,07-2008,85.31785,27.713166,16.0
17657,2094015084,21255424@N07,11-2007,78.008422,27.177843,11.0
17660,6196538724,43643447@N00,09-2010,89.64569,27.532629,7.0
18013,5845076971,7956695@N03,06-2011,76.629638,11.675436,11.0
